Cluster_ID,Compound_ID
5185,Z594293404
511,Z14096874
5184,Z14128019
1499,Z14126527
12,Z14123198
12,Z14072570
5183,Z443947340
5182,Z443211700
5181,Z442887094
805,Z573443002
353,Z612501420
1466,Z183970424
12,Z14124593
117,Z14134599
92,Z14141290
188,Z14145037
511,Z14153395
30,Z14146105
326,Z32122604
1408,Z356446046
5180,Z442139890
5179,Z573718962
5178,Z301919846
1043,Z339818624
5177,Z366955634
5176,Z133656202
5175,Z365593170
5174,Z29902206
1467,Z411808824
5173,Z365378934
5172,Z423411720
5171,Z371352040
835,Z14172509
37,Z14141251
69,Z14180360
1498,Z14177681
5170,Z14175120
69,Z14183928
47,Z14194614
5169,Z286220692
5168,Z358337448
5167,Z229684458
5166,Z2000521509
47,Z14172581
433,Z14181299
5165,Z14195091
23,Z14185985
1497,Z433635952
5164,Z416937184
5163,Z338188312
5162,Z364684916
968,Z571408110
1496,Z356155276
47,Z14195718
5161,Z572585558
47,Z14194093
117,Z14187240
76,Z14207898
511,Z14208404
5160,Z14204358
516,Z14208633
23,Z14199179
47,Z14199335
47,Z14199777
47,Z14200177
5159,Z425200438
5158,Z1824055278
516,Z14236069
5157,Z335985530
835,Z14233099
47,Z14233238
30,Z14245368
5156,Z214958342
5155,Z14243287
517,Z14217478
5154,Z14223780
37,Z14241445
12,Z14241481
117,Z14241700
516,Z14239086
5153,Z14270098
8,Z13823825
241,Z14001531
93,Z14004806
5152,Z14006040
240,Z14008860
241,Z14008997
931,Z14029781
5151,Z198196754
5150,Z230795822
12,Z14141297
47,Z14201026
5149,Z424306868
5148,Z442446050
5147,Z339620466
5146,Z1124663851
515,Z14279186
77,Z14312563
543,Z14309664
335,Z14312596
335,Z14312657
335,Z14312706
58,Z14307091
351,Z14313182
5145,Z1426653666
5144,Z1783964975
514,Z14313291
5143,Z14310684
58,Z14308022
58,Z14308060
5142,Z14311293
1495,Z14314104
38,Z14314300
834,Z14314463
5141,Z14308712
108,Z14308717
701,Z211790236
5140,Z441044566
116,Z443967252
116,Z442284176
513,Z826225094
513,Z826225070
149,Z14360546
490,Z14354191
75,Z14365768
272,Z14368600
26,Z14371210
1266,Z14363054
5139,Z14369664
512,Z14364071
5138,Z14361622
75,Z14364151
1434,Z770928416
26,Z14367418
75,Z14364463
26,Z14370766
25,Z14370816
26,Z14370855
75,Z14362787
833,Z14382592
732,Z14374612
150,Z14377508
150,Z14377824
434,Z402469256
237,Z14477901
5,Z14484073
5,Z14484083
74,Z28657795
5,Z14482403
5,Z14482408
74,Z28657817
74,Z28657823
5137,Z806807456
5136,Z14482980
515,Z14279367
515,Z14276749
515,Z14276811
836,Z14276941
511,Z14279704
47,Z14275272
58,Z14305941
58,Z14306016
58,Z14301940
58,Z14300800
58,Z14306406
187,Z14301511
58,Z14301636
238,Z14299455
58,Z14302130
58,Z14305108
58,Z14302467
58,Z14305752
1494,Z14308843
193,Z14480067
5,Z14483089
19,Z14371959
1493,Z14378026
706,Z14378146
833,Z14378170
150,Z14378314
150,Z14378391
150,Z14375716
66,Z14375966
104,Z14373113
1492,Z14376181
334,Z14379015
150,Z14381958
150,Z14374062
5135,Z25635099
5134,Z606757404
5133,Z667260844
333,Z14244589
5132,Z14244862
237,Z14245124
237,Z14242478
730,Z433790930
121,Z442077672
5131,Z826578598
1067,Z2000542524
5130,Z510479586
5129,Z826228576
149,Z14418308
149,Z14418564
149,Z14416359
149,Z14416364
5128,Z1986516538
513,Z424666434
5127,Z185207362
5126,Z2000450867
5,Z14483348
148,Z14483536
5125,Z14483572
67,Z14492622
510,Z14487057
234,Z14487090
67,Z14487142
832,Z14487158
510,Z14487184
235,Z14487235
5124,Z14490255
5,Z14487265
67,Z14487314
5123,Z14487421
510,Z14487431
148,Z14484574
332,Z14484615
332,Z14484631
186,Z14484641
186,Z14484646
186,Z14484653
5122,Z28657913
148,Z14484682
1485,Z14484726
5121,Z90986106
5,Z14487689
236,Z14487729
5,Z14490608
186,Z14490635
185,Z14490679
148,Z14484731
5,Z14484752
235,Z14484815
509,Z14487927
509,Z14487936
5,Z14490714
5,Z14490831
5,Z14490840
57,Z14490855
5,Z14490857
74,Z28657984
831,Z14485093
831,Z14485100
5120,Z14488088
5,Z14490946
57,Z14490969
1491,Z14485240
5119,Z14488273
67,Z14488317
1490,Z14491073
1489,Z14485386
1489,Z14485391
234,Z14488605
234,Z14488657
5118,Z27235409
1484,Z28658052
5,Z14491455
1488,Z14485843
5,Z14491526
5,Z14485953
509,Z14486023
1488,Z14486076
5117,Z14489074
509,Z14491711
148,Z14486393
5,Z14491829
5,Z14491850
186,Z14486487
186,Z14486495
5,Z14486583
1487,Z14486609
5116,Z14492033
5,Z14492179
185,Z14489680
5,Z14492207
1487,Z14492231
5,Z14484212
5,Z14484222
5115,Z14484264
5114,Z14484551
5113,Z220307340
830,Z271986638
5,Z14481782
67,Z14481940
18,Z14555216
5112,Z14552513
147,Z14552650
73,Z14552661
506,Z14552921
310,Z14555771
147,Z14553148
5111,Z827051792
5110,Z752093622
5109,Z640244640
5108,Z14553879
147,Z14556536
5107,Z408984544
370,Z14556754
1486,Z14557014
5106,Z827050124
829,Z14554728
950,Z14554737
5105,Z301627402
5104,Z437461930
5103,Z28656817
956,Z46247663
869,Z1090513272
147,Z14549539
228,Z14552229
18,Z14549970
147,Z14550288
829,Z14550388
5102,Z27533907
233,Z301548272
5101,Z640246994
5100,Z14551621
108,Z14549418
1163,Z14554913
1485,Z14492456
5099,Z236255622
1336,Z14503925
266,Z16225003
1484,Z28658270
372,Z28658092
5098,Z14505837
5097,Z57038099
828,Z28658236
74,Z28657532
1483,Z28657676
1483,Z28656284
508,Z14508118
508,Z14508206
508,Z14508240
5096,Z2000252720
74,Z28657811
74,Z28658018
5095,Z284425896
5094,Z79833863
828,Z28657521
507,Z454259520
5093,Z271109602
507,Z450182758
233,Z450182870
5092,Z284425434
5091,Z284425664
5090,Z2000280042
184,Z28672487
827,Z14601888
827,Z14604552
184,Z82221700
247,Z89399587
5089,Z594293784
66,Z14651601
242,Z14648386
146,Z14652389
38,Z14656333
0,Z14649029
146,Z14653183
146,Z14649454
369,Z14653321
506,Z14653579
829,Z14649892
49,Z28672869
826,Z28672248
184,Z28671431
5088,Z1333498453
505,Z62317728
5087,Z826245864
506,Z14657285
134,Z14650309
77,Z14654006
5086,Z2000360277
0,Z14650532
100,Z14650573
741,Z14654586
0,Z14657651
370,Z14657702
825,Z411125754
1481,Z1273136561
1482,Z14676246
184,Z28672960
5085,Z28671326
5084,Z411012332
5083,Z317121530
5082,Z450512646
1204,Z412773092
5081,Z146403290
5080,Z71196405
53,Z14680473
1481,Z1273136575
184,Z164790754
992,Z237511596
505,Z301063354
184,Z94728382
184,Z28672732
5079,Z317605220
5078,Z26552415
5077,Z826250052
5076,Z96034309
42,Z14775865
41,Z14775911
539,Z14772577
5075,Z373651770
824,Z14773364
1480,Z28672665
1479,Z1273136684
5074,Z1170427223
1479,Z1273136693
5073,Z899993132
5072,Z1273136726
823,Z88368594
1478,Z284412344
1478,Z284412338
5071,Z32234828
5070,Z826902196
5069,Z15371722
5068,Z1171506855
5067,Z1082796772
5066,Z1082837440
5065,Z284408096
5064,Z284407968
5063,Z370474678
164,Z370030370
431,Z102070274
5062,Z365312524
492,Z169595252
1477,Z15371004
823,Z200896622
5061,Z361944186
5060,Z28672968
5059,Z283955780
5058,Z15370481
5057,Z571713744
502,Z29323880
1476,Z212689944
953,Z212692984
231,Z826704054
291,Z452413752
504,Z86124231
504,Z86124233
5056,Z240377846
5055,Z1986750884
841,Z29325473
502,Z212691682
231,Z826705024
1081,Z29324226
687,Z29324199
5054,Z29324317
1476,Z212689962
5053,Z15382069
1475,Z15382098
231,Z905998308
231,Z826703840
2,Z15383125
2,Z15383585
2,Z15383595
2,Z15383596
2,Z15383597
2,Z15383601
2,Z15383602
2,Z15383608
2,Z15383619
2,Z15383182
2,Z15383187
232,Z15383195
2,Z15383198
2,Z15383631
2,Z15383638
2,Z15383639
820,Z15383642
2,Z15383647
2,Z15383648
1352,Z15383221
2,Z15383668
2,Z15383259
822,Z15383693
821,Z15383280
2,Z15383718
115,Z15383723
2,Z15383731
2,Z15383754
2,Z15383767
1475,Z15382913
114,Z15383362
232,Z15383371
115,Z15383380
2,Z15383422
820,Z15383862
114,Z15383010
114,Z15383440
114,Z15383447
2,Z15383025
2,Z15383033
2,Z15383035
114,Z15383478
5052,Z15382641
2,Z15383044
2,Z15383066
2,Z15383495
114,Z15383501
5051,Z15383081
2,Z15383107
2,Z15383111
114,Z15383546
231,Z826703352
503,Z826704362
5050,Z1171657516
5049,Z29325595
5048,Z212691986
5047,Z340012148
5046,Z992084084
502,Z218245998
5045,Z109131774
625,Z286526716
5044,Z809000274
5043,Z145235076
5042,Z422608782
5041,Z1171596044
5040,Z436053378
29,Z15403395
47,Z15406995
5039,Z15403442
5038,Z1020883610
5037,Z15403001
29,Z15403478
29,Z15403485
29,Z15403487
29,Z15402603
29,Z15403527
5036,Z223770850
5035,Z63439535
5034,Z95922870
5033,Z29325127
1474,Z29325666
5032,Z169541308
5031,Z256506202
5030,Z251857980
502,Z212692116
5029,Z199127066
1072,Z287330750
29,Z15403531
276,Z594299932
5028,Z433632498
5027,Z56692917
5026,Z594300238
36,Z15402764
29,Z15403653
29,Z15403655
29,Z15402330
29,Z15402339
5025,Z612510618
29,Z15402363
276,Z594303336
29,Z15402809
29,Z15403289
29,Z15402897
29,Z15403335
29,Z15403358
691,Z441003710
145,Z15410310
145,Z15410402
145,Z15410405
145,Z15410407
654,Z594310072
69,Z15407155
145,Z15410444
5024,Z15409617
145,Z15410492
5023,Z2000453379
1076,Z594342446
276,Z594364934
5022,Z907724712
5021,Z594365188
5020,Z871904806
5019,Z816643038
5018,Z15434737
5017,Z199618110
5016,Z1097125242
5015,Z15436504
711,Z452413134
1473,Z826704644
1472,Z26146613
501,Z15438357
501,Z15438359
5014,Z466245182
5013,Z758119304
501,Z15438459
331,Z15438501
5012,Z981991352
5011,Z2000038892
5010,Z1987058896
5009,Z68153311
846,Z826618768
5008,Z460592266
5007,Z768492610
5006,Z997846330
5005,Z1014822154
5004,Z653348174
1469,Z826276204
5003,Z826620112
5002,Z826620608
5001,Z770125664
331,Z15438094
331,Z15438555
331,Z15438961
5000,Z340458960
103,Z573707926
1396,Z336586208
952,Z30233033
4999,Z826616948
4998,Z826617516
4997,Z768703952
4996,Z1021096946
1436,Z15453301
1471,Z15461353
500,Z15461792
819,Z15462074
4995,Z594387380
930,Z424434098
4994,Z393152114
4993,Z424331838
4992,Z424971306
1470,Z444149748
4991,Z2000124190
819,Z15462394
500,Z15462407
170,Z15462424
1419,Z15461484
500,Z15461505
489,Z15462596
276,Z594391014
4990,Z298458130
4989,Z15461618
4988,Z1147852202
500,Z15461336
1469,Z826280066
1438,Z1761611885
770,Z509585374
4987,Z44380155
1468,Z15476588
4986,Z281575156
4985,Z392004280
811,Z1987083525
4984,Z2000213400
1467,Z435067896
1356,Z437383892
357,Z433166572
3,Z646964768
4983,Z744031034
317,Z15476851
113,Z15476908
811,Z1984134330
1274,Z994240342
1272,Z409734878
1466,Z359387944
113,Z15477137
818,Z223353898
814,Z91525988
113,Z15478335
4982,Z91526039
25,Z15478934
16,Z15478941
4981,Z806430528
4980,Z806201254
932,Z131723758
4979,Z450335184
4978,Z15497904
1461,Z28032885
1460,Z28032888
336,Z437404202
1085,Z164748856
4977,Z1147714255
4976,Z649201342
4975,Z454249764
1465,Z402513212
4974,Z649200406
4973,Z651071476
4972,Z408618754
1464,Z411126128
400,Z238833784
4971,Z384985558
4970,Z806428932
4969,Z15497451
4968,Z440801936
4967,Z442314668
74,Z15504219
228,Z15499836
4966,Z757877218
4965,Z15501858
4964,Z15503344
4963,Z15500933
4962,Z15502972
4961,Z15503468
784,Z15500541
817,Z648167320
1225,Z512990602
1258,Z211760074
4960,Z510983506
813,Z411125974
4959,Z384591864
4958,Z604041188
4957,Z413869746
4956,Z383528352
4955,Z434392440
4954,Z434350158
4953,Z224346818
4952,Z230035396
4951,Z647332884
452,Z510990472
4950,Z408801454
4949,Z394329764
4948,Z384432256
4947,Z850994198
4946,Z850994206
4945,Z649101256
1245,Z393093902
4944,Z384435944
1463,Z647484568
4943,Z281857250
105,Z413213438
4942,Z435198632
1463,Z647096704
4941,Z408831864
4940,Z384593062
4939,Z29560381
1462,Z98296893
4938,Z203228436
4937,Z223854142
533,Z384589890
4936,Z384072518
4935,Z384594126
4934,Z826990382
4933,Z826884584
4932,Z28032460
4931,Z339606176
230,Z88458921
1461,Z89481277
4930,Z1147779233
1460,Z89481294
4929,Z82252960
230,Z28032143
1459,Z109411880
145,Z15409643
69,Z15407240
4928,Z413059294
229,Z15407821
4927,Z15410635
4926,Z15410649
145,Z15410257
4925,Z650557640
4924,Z594319080
250,Z15418559
1458,Z423957936
228,Z15500122
366,Z15503583
70,Z15503625
70,Z15504173
4923,Z435843450
816,Z28031595
815,Z28031628
4922,Z357152478
4921,Z908171328
4920,Z1147817196
4919,Z991836294
4918,Z257312820
815,Z225066676
230,Z259730884
4917,Z281552144
1452,Z370422178
4916,Z253307636
815,Z225066688
1335,Z826318448
230,Z28032794
4915,Z826319958
4914,Z297569936
4913,Z1171604569
4912,Z15520338
1457,Z257311456
814,Z612525528
4911,Z28032534
284,Z565849536
282,Z466799652
4910,Z1987221319
4909,Z458655158
1055,Z596109136
4908,Z466512200
4907,Z647735924
1457,Z73342444
4906,Z28032530
4905,Z422837664
4904,Z649281900
4903,Z642587460
4902,Z395257682
4901,Z408802500
65,Z413870084
4900,Z650494488
4899,Z423443356
4898,Z451195580
227,Z413800032
452,Z510986456
4897,Z422970938
813,Z412573158
812,Z420255024
4896,Z225581562
4895,Z131356772
811,Z1984356940
230,Z28032672
4894,Z451326592
4893,Z412440034
4892,Z316627348
4891,Z774672460
1314,Z1147848373
4890,Z1984409498
1456,Z409934628
4889,Z440457064
4888,Z439815056
4887,Z228199136
4886,Z784110862
4885,Z786123530
1437,Z786195704
614,Z336763934
160,Z333719128
328,Z15559215
1455,Z15559768
1428,Z15559789
1455,Z15559791
8,Z15572521
1454,Z15583901
479,Z15583531
4884,Z83254273
1386,Z15583970
8,Z15572548
4883,Z729457272
183,Z15572616
8,Z15572645
8,Z15571835
8,Z15572692
8,Z15572310
8,Z15572311
4882,Z15571946
8,Z15573206
8,Z15571966
4881,Z15572817
8,Z15571994
8,Z15572062
8,Z15572470
8,Z15573336
8,Z15573363
8,Z15572107
499,Z15583349
224,Z15583357
498,Z15587101
4880,Z354554812
810,Z15587874
960,Z573427040
4879,Z573353282
1453,Z284075694
4878,Z442347818
4877,Z29198407
1452,Z442347868
816,Z423374164
52,Z827557440
91,Z15606264
4876,Z1147891629
4875,Z217922744
810,Z15587770
816,Z28032312
981,Z424817648
418,Z352906752
4874,Z573404848
614,Z29203941
4873,Z415047676
4872,Z333670616
4871,Z533370988
91,Z15606393
288,Z827559352
4870,Z88213802
91,Z15606829
4869,Z89382367
4868,Z826329624
4867,Z1147907866
4866,Z89907453
4865,Z431823156
4864,Z432172752
41,Z450160648
368,Z450231822
1333,Z238834600
4863,Z443934878
230,Z316461210
155,Z15606600
302,Z15606602
1451,Z15606616
55,Z15606688
91,Z15606690
91,Z15606847
4862,Z27221445
754,Z15606962
91,Z15606205
91,Z15606220
91,Z15606222
4861,Z759062076
4860,Z767077958
568,Z18371864
4859,Z18560022
1450,Z102844000
4858,Z927941786
4857,Z927941806
4856,Z927973428
4855,Z1972593358
1444,Z913674556
4854,Z1147930154
4853,Z927526234
4852,Z26497510
4851,Z30992410
4850,Z927286062
139,Z15645496
1445,Z913678682
330,Z15643812
4849,Z927936194
330,Z15643393
1249,Z927543358
254,Z928031202
4848,Z920833018
1449,Z27852265
41,Z27833580
4847,Z920798884
4846,Z19456223
4845,Z26552102
4844,Z26395522
81,Z19657297
4843,Z1987454390
4842,Z920798110
4841,Z1987461377
4840,Z1984600595
4839,Z30564392
4838,Z927394570
1448,Z917573096
1448,Z917573030
497,Z15645727
149,Z15649480
4837,Z193648380
215,Z925852274
809,Z19656946
183,Z15644043
4836,Z26959619
4835,Z91202119
1447,Z89745140
226,Z15607676
837,Z15607699
4834,Z92007315
4833,Z1927313578
1446,Z24571234
4832,Z15618900
4831,Z1023985160
4830,Z91982917
7,Z29609872
4829,Z928029020
4828,Z928033274
4827,Z917572436
4826,Z928002340
1445,Z913673928
4825,Z1987473190
721,Z927974482
4824,Z1987473163
403,Z928031690
4823,Z927561508
4822,Z927285284
1444,Z913673942
999,Z927545606
4821,Z29597841
4820,Z917559574
4819,Z927285742
4818,Z913674146
4817,Z927310744
4816,Z30996672
4815,Z27295309
30,Z15671925
152,Z15675755
346,Z15676665
4814,Z15675783
18,Z25575159
4813,Z27295004
112,Z15682630
112,Z15682635
4812,Z594453958
41,Z15685890
323,Z27666822
112,Z15682691
112,Z15683374
45,Z15683379
495,Z15683383
112,Z15683391
48,Z15683397
112,Z15683486
112,Z15683502
4811,Z594458446
4810,Z96091721
4809,Z1759340578
906,Z165147302
1443,Z15676291
496,Z15675893
808,Z15676340
86,Z15671618
94,Z15675488
92,Z15671147
30,Z15671148
807,Z15675956
1443,Z15675749
4808,Z15682930
659,Z594481860
112,Z15683635
4807,Z594465642
1442,Z15675555
4806,Z15675997
4805,Z15676097
1441,Z15675676
4804,Z46507880
187,Z15675683
4803,Z15676130
496,Z15676597
4802,Z1147972065
4801,Z1757079607
4800,Z15686011
4799,Z15686078
0,Z16598970
4798,Z2000397050
4797,Z565740316
4796,Z810394258
0,Z16598263
4795,Z827565348
0,Z16598246
4794,Z215643220
4793,Z25474411
800,Z366608520
806,Z278480692
40,Z102844242
4792,Z126186460
4791,Z432346238
1424,Z440974318
4790,Z445029584
4789,Z228463036
806,Z425552680
4788,Z317642118
4,Z16884894
4787,Z735760362
4786,Z229755502
657,Z424459678
4785,Z571965314
4784,Z400998636
4783,Z300539806
4782,Z366548924
