Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z2221367059,C[C@@H](C(=O)Nc1cccc(-c2nnc[nH]2)c1)c1ccc2c(c1)OCO2,-8.559,-0.342,03
Z825774552,Cc1n[nH]c2ncc(NC(=O)c3ccc4c(c3)NC(=O)CS4)cc12,-8.559,-0.357,04
Z976793112,COCc1cccc(NC(=O)NCc2ccc(OCC3CC3)nc2)c1,-8.559,-0.342,01
Z1071219356,COc1ccc(CNc2cnn(C[C@H]3CCCO3)c2)c2ccccc12,-8.558,-0.342,03
Z1173503704,CN1C[C@H](C(=O)Nc2ccc(Cc3nnc4ccccn34)cc2)CC1=O,-8.558,-0.329,04
Z135595224,COc1ccc(CNC(=O)Cn2ccc(=O)[nH]c2=O)cc1OC,-8.558,-0.372,02
Z2408161695,CCO/C(O)=C\n1cnc(NC(=O)CSC(C)(C)C)n1,-8.558,-0.428,02
Z952518004,O=C(C[C@@H]1CCCO1)NCc1ccc(-n2cnc3ccccc32)nc1,-8.558,-0.342,01
Z1268726016,CCc1nc([C@@H]2CCCN2C(=O)c2ccc(=O)n(CCOC)c2)no1,-8.557,-0.342,01
Z1642587647,NC(=O)CCSCc1cn(-c2ccc(Cl)c(Cl)c2)nn1,-8.557,-0.428,04
Z228466690,COc1ccc(CCn2c(C)cc(C(=O)Cn3cnc(C#N)n3)c2C)cc1OC,-8.557,-0.295,01
Z976793112,COCc1cccc(NC(=O)NCc2ccc(OCC3CC3)nc2)c1,-8.557,-0.342,02
Z1211979819,O=C(c1cccc(-n2cncn2)c1)N1CCC(Nc2cccnc2)CC1,-8.556,-0.329,02
Z1240268994,CC(C)[C@@H](OC[C@@H]1CCCO1)C(=O)N1CCC[C@@H](c2cn[nH]c2)C1,-8.556,-0.357,05
Z1250298454,CCNC(=O)Cc1ccc(NC(=O)[C@H]2C[C@@H]2c2ccccc2C)cc1,-8.556,-0.342,05
Z785050842,Cc1ccccc1S[C@H](C)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,-8.556,-0.372,05
Z1025768014,Cc1ccc(Oc2ccc(NC(=O)c3n[nH]c(=O)[nH]3)cn2)cc1C,-8.555,-0.356,01
Z1031336622,CCn1cnnc1CNC(=O)NCc1cccc(-c2cccc(C)c2)c1,-8.555,-0.329,04
Z332605822,Cc1cccc(NC(=O)c2cccc(Nc3ncccn3)c2)c1,-8.555,-0.372,01
Z1171344794,COc1ccc(NC(=O)CONC(=O)CCOc2ccccc2)cc1,-8.554,-0.342,02
Z31790934,O=C(CCC(=O)c1ccc2c(c1)OCCCO2)Nc1cccnc1,-8.554,-0.356,01
Z1015788906,CC[N@H+](CCNC(=O)c1cccc(OCc2cccnc2)c1)C1CC1,-8.553,-0.342,03
Z1007446336,COc1ccc(-c2nc(CCNC(=O)c3ccc(=O)[nH]c3)co2)cc1,-8.552,-0.342,02
Z25504871,Cc1ccc(C)c(C(=O)CSc2nnc(-c3ccc(OC(F)F)cc3)o2)c1,-8.552,-0.317,04
Z1276902244,CCO[C@@H]1C[C@@H](NC(=O)Nc2ccnn2C(C)C)C12CCC2,-8.551,-0.389,01
Z1845403256,CCn1cc([C@@H]2CN(C(=O)Nc3cnn(C(C)(C)C)c3)CCO2)cn1,-8.551,-0.342,01
Z235588300,COc1ccc(C)cc1NC(=O)c1ccc(NS(C)(=O)=O)cc1,-8.550,-0.372,01
Z1173503704,CN1C[C@H](C(=O)Nc2ccc(Cc3nnc4ccccn34)cc2)CC1=O,-8.549,-0.329,05
Z1459669437,C[C@H]1C[N@@H+](C2CCN(C(=O)CN3CCNCC3=O)CC2)CCO1,-8.549,-0.372,02
Z215498206,C[C@@]1(NC(=O)COc2cccc3c2CCC3=O)CCS(=O)(=O)C1,-8.549,-0.372,05
Z2383206596,Cc1cnc(N2CCC[C@@](O)(Cc3nc(C4CC4)no3)C2)nc1C,-8.549,-0.356,04
Z25074763,CC(=O)c1cccc(NC(=O)[C@@H](C)Sc2nc(N)cc(N)n2)c1,-8.549,-0.372,02
Z1003224070,Cc1cccc(CS(=O)(=O)NC[C@@H]2CCS(=O)(=O)C2)c1,-8.548,-0.427,02
Z1015533152,CCCc1ccc(-c2cc(NC(=O)[C@H](C)S(C)(=O)=O)n[nH]2)cc1,-8.548,-0.372,05
Z1021119610,O=C(Nc1ccc(NC2CCOCC2)cc1)Nc1cccnc1,-8.548,-0.372,01
Z1031336622,CCn1cnnc1CNC(=O)NCc1cccc(-c2cccc(C)c2)c1,-8.548,-0.329,05
Z1341324042,CC(C)N(C[C@@H](C)O)C(=O)Nc1cccc(OC[C@@H]2CCCO2)c1,-8.548,-0.356,03
Z2055825832,CO[C@H]1C[C@@H](C(=O)NC2CCN(c3cc(C)[nH+]c(C)n3)CC2)N(C)C1,-8.548,-0.342,03
Z2403558944,COc1ccc(CNC(=O)[C@@H]2Cn3c(C)nnc3CN2C)nc1,-8.548,-0.372,01
Z26294278,CCCC(=O)Nc1ccc(OCc2nnc(-c3ccccc3)o2)c(C(C)=O)c1,-8.548,-0.305,05
Z1078345638,COc1ccc(C(=O)N2CCC([NH2+]Cc3ncc[nH]3)CC2)c(OC)c1,-8.547,-0.342,05
Z1607150584,C[C@H](Nc1ccc(N2CCOCC2)cn1)c1cncc(F)c1,-8.547,-0.389,03
Z1578101386,O=C(Nc1ccc(-n2ccnn2)cc1)N[C@H]1CCO[C@]2(CCOC2)C1,-8.546,-0.342,04
Z996931048,Cc1ccccc1C(C)(C)CNC(=O)c1ccnc(-n2cncn2)c1,-8.546,-0.342,03
Z1219831733,O=C(Nc1cccc(NC(=O)C2CC2)c1)c1cccc(-n2cccn2)c1,-8.545,-0.329,01
Z1247511136,CCn1cc(C[NH2+]C[C@H](O)c2cc(Cl)c3c(c2)OCCO3)cn1,-8.545,-0.372,04
Z1373782668,COc1ccc(CCCC(=O)Nc2ccc(C#N)cn2)cc1F,-8.545,-0.372,01
Z333667632,COc1ncccc1CNC(=O)c1ccc(-c2nc(C)no2)cc1,-8.545,-0.356,01
Z366591554,O=C(Cn1ccc(=O)[nH]c1=O)NCCC[N@@H+]1CCc2ccccc2C1,-8.545,-0.342,04
Z808691950,CC(=O)Nc1ccc(O)c(C(=O)NC[C@@]23C[C@@H]4C[C@@H](C[C@@](Cl)(C4)C2)C3)c1,-8.545,-0.329,05
Z1697503542,COc1cc(NC(=O)[C@H]2CCc3[nH]ncc3C2)ccc1OC(C)C,-8.544,-0.356,03
Z227276868,CN(C)c1ccc(NC(=O)CCc2nc(=O)c3ccccc3[nH]2)cn1,-8.544,-0.342,05
Z1196754512,COc1cccc(NC(=O)NCc2cc3c([nH]c2=O)CCC3)c1,-8.542,-0.371,04
Z31371834,O=C(c1ccccc1)c1ccc(OC[C@@H](O)C[NH+]2CCOCC2)cc1,-8.541,-0.342,04
Z55991733,CC1(C)C[C@H]2C[C@](C)(CN2C(=O)C[C@H](C(=O)Nc2ccc3c(c2)OCCO3)C(=O)c2ccccc2)C1,-8.541,-0.237,01
Z961785250,COc1ccc(-n2ccc(C(=O)NCC(=O)Nc3cn[nH]c3)n2)cc1,-8.541,-0.342,01
Z1724549311,c1nc(N[C@H]2C[C@@H]3CC[C@H]2O3)cc(N[C@H]2C[C@@H]3CC[C@H]2O3)n1,-8.540,-0.388,01
Z1724549311,c1nc(N[C@H]2C[C@@H]3CC[C@H]2O3)cc(N[C@H]2C[C@@H]3CC[C@H]2O3)n1,-8.540,-0.388,02
Z1724549311,c1nc(N[C@H]2C[C@@H]3CC[C@H]2O3)cc(N[C@H]2C[C@@H]3CC[C@H]2O3)n1,-8.540,-0.388,03
Z434194550,O=C(NCCOc1ccccc1)Nc1ccc(N2CCOCC2)nc1,-8.540,-0.342,05
Z1139707171,Cc1ccc(CN(C)C(=O)CN2CCO[C@H](Cn3cncn3)C2)o1,-8.539,-0.356,03
Z1234077608,C[C@H](Nc1ccc(OCC2CCOCC2)cc1)C(=O)N1CCCC1,-8.539,-0.356,03
Z1120990196,COCCSc1ccc([C@@H](C)NC(=O)Nc2cn[nH]c2)cc1,-8.537,-0.388,05
Z1268773865,CCc1nnc([C@@H]2CN(C(=O)CCn3ccnc3)CCO2)[nH]1,-8.537,-0.388,05
Z1444728462,CO[C@H]1CCCC[C@@H]1NC(=O)N1CCC[C@@H](Cc2nccn2C)C1,-8.537,-0.356,02
Z2221367059,C[C@@H](C(=O)Nc1cccc(-c2nnc[nH]2)c1)c1ccc2c(c1)OCO2,-8.537,-0.341,04
Z2638073543,Cc1ccc(CN(CCO)C(=O)[C@@H](C)n2cnc3c(N)ncnc32)o1,-8.537,-0.341,02
Z355432490,COc1ccccc1COC[C@@H](O)Cn1nc2c3c(cccc31)C(=O)c1ccccc1-2,-8.537,-0.275,03
Z906022840,Cc1cccc(Oc2ccc(NC(=O)c3ccc(C(N)=O)nc3)cc2)c1,-8.537,-0.328,04
Z942120360,CCOc1ccc2c(c1)CC(C(=O)NCc1cc3ccccc3[nH]1)=CO2,-8.537,-0.328,02
Z1175491741,CNC(=O)[C@H]1CCCN(C(=O)/C=C/c2ccc3c(c2)OCO3)C1,-8.536,-0.371,03
Z1754208902,Cc1nnc([C@@H]2COCCN2C(=O)C[C@H]2CCOc3ccccc32)o1,-8.536,-0.341,01
Z182956148,COc1ccc(NC(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)cc1,-8.536,-0.341,05
Z1625173413,CC[N@H+]1CC[N@H+](C[C@H](C)CNC(=O)c2cnc3c(c2)ncn3C)CC1,-8.535,-0.341,04
Z88254101,COc1cccc(CC(=O)N[C@@H](C)c2ccc(-n3cncn3)cc2)c1,-8.535,-0.341,01
Z942507824,COCCOCCC(=O)N1CCC[C@@H]1Cc1ccccc1OC,-8.535,-0.371,01
Z961785616,O=C(Cn1ccc2ccc(Cl)cc21)NCC(=O)Nc1cn[nH]c1,-8.535,-0.371,02
Z1151377202,COCCSc1ccc([C@@H](C)NC(=O)c2ccc(C#N)cn2)cc1,-8.534,-0.356,05
Z1213747443,COc1cccc(/C=c2/sc3nc(=O)c(Cc4ccc(F)cc4)c(C)n3c2=O)c1,-8.534,-0.294,01
Z1362978731,CCOc1cc(NC(=O)N2CCC(c3nnc[nH]3)CC2)ccc1C,-8.534,-0.356,03
Z114950386,COc1ccc(/C=C/C(=O)c2ccc3c(c2)NC(=O)CO3)cc1OCc1ccccc1,-8.533,-0.275,04
Z118506088,O=C(CSc1nnc([C@@H]2CCS(=O)(=O)C2)o1)N1CCOCC1,-8.533,-0.388,04
Z169912624,COc1ccccc1CCC(=O)Nc1cc2c(=O)nc[nH]c2cc1F,-8.532,-0.341,01
Z2054848717,COc1ccc2cc(C[N@@H+]3CC[C@@](O)(Cn4ccnn4)C3)ccc2c1,-8.532,-0.341,02
Z2900719030,O=C(NCc1cnc2n1CCC2)[C@@H]1C[C@H]1c1ccc2c(c1)OCCO2,-8.532,-0.341,04
Z55991733,CC1(C)C[C@H]2C[C@](C)(CN2C(=O)C[C@H](C(=O)Nc2ccc3c(c2)OCCO3)C(=O)c2ccccc2)C1,-8.532,-0.237,02
Z62695433,COc1ccc(NC(=O)CCc2cccc(OC)c2OC)cn1,-8.532,-0.371,05
Z1039970494,CCOc1ccc(C(=O)NC[C@@H](C)N2CC[NH+](C)CC2)cc1,-8.531,-0.388,01
Z94561820,COc1ccc(-c2nnc(SCCC(C)=O)n2-c2ccccc2C(C)C)cc1,-8.531,-0.305,03
Z976793112,COCc1cccc(NC(=O)NCc2ccc(OCC3CC3)nc2)c1,-8.531,-0.341,03
Z117937034,C[C@H]1Oc2ccc(NC(=O)CCn3ccc4ccccc43)cc2NC1=O,-8.529,-0.328,01
Z1676874109,CCc1cc(C(=O)Nc2cc(-c3nnco3)ccc2C)c(C)nn1,-8.529,-0.355,02
Z1961275743,Clc1ccc(CO[C@H]2CC[N@@H+](Cc3c[nH]cn3)CC2)cc1Cl,-8.529,-0.388,01
Z1993937479,O[C@H](C[N@H+]1CC[C@H](OC[C@@H]2CCCCO2)CC1)c1ccc(F)cn1,-8.529,-0.355,02
Z646130548,CN(C)C(=O)COc1cccc(CNc2ncnc3c2cnn3C)c1,-8.529,-0.341,03
Z1139338262,CCc1nccn1[C@H]1CCCN(C(=O)[C@H](C)OC[C@@H]2CCCO2)C1,-8.528,-0.355,02
Z1625173413,CC[N@H+]1CC[N@H+](C[C@H](C)CNC(=O)c2cnc3c(c2)ncn3C)CC1,-8.528,-0.341,05
Z1764409812,COc1ccc(-c2nnc(NCc3ccc([S@](C)=O)cc3)o2)cc1,-8.528,-0.355,01
Z1080391798,CC(C)c1nc([C@H]2CCCN(C(=O)CCn3cncn3)C2)no1,-8.527,-0.371,01
Z1250845147,Cc1ncc(Cl)c(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)n1,-8.527,-0.371,01
Z1444728462,CO[C@H]1CCCC[C@@H]1NC(=O)N1CCC[C@@H](Cc2nccn2C)C1,-8.527,-0.355,03
Z1444728462,CO[C@H]1CCCC[C@@H]1NC(=O)N1CCC[C@@H](Cc2nccn2C)C1,-8.527,-0.355,04
Z428892776,Cc1ccc(C(=O)COc2cccc(S(C)(=O)=O)c2)cc1C,-8.527,-0.388,02
Z1575158280,COc1cccc([C@H](CO)NC(=O)CCCc2ccccn2)c1,-8.526,-0.371,04
Z31371834,O=C(c1ccccc1)c1ccc(OC[C@@H](O)C[NH+]2CCOCC2)cc1,-8.526,-0.341,05
Z826733964,C[C@H](NC(=O)c1cccc(Nc2ncccn2)c1)c1nnc2n1CCC2,-8.526,-0.328,04
Z1230003191,Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)NCC[C@@H](C)O)C2)c1,-8.525,-0.355,04
Z339491604,CC(C)[C@@H](C)NC(=O)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,-8.525,-0.371,04
Z428892776,Cc1ccc(C(=O)COc2cccc(S(C)(=O)=O)c2)cc1C,-8.525,-0.387,03
Z751695050,CCCNC(=O)CNC(=O)Nc1cnn(C[C@@H]2CCCO2)c1,-8.525,-0.387,01
Z812853578,COc1cc2c(cc1OC)CCN(C(=O)c1cnsn1)CC2,-8.525,-0.388,03
Z908233538,CCS(=O)(=O)Nc1ccccc1C(=O)NCCNc1cnccn1,-8.525,-0.355,01
Z26552459,CCOc1ncccc1C(=O)Nc1ccc(-n2cnnn2)cc1,-8.524,-0.371,01
Z2762005119,CN(C)C(=O)[C@H]1CC[C@@H](C2CCN(c3cnc(C#N)cn3)CC2)O1,-8.524,-0.355,04
Z1139263856,Cc1ccc(N2CCCN(C(=O)CCCn3ccnc3C)CC2)nn1,-8.523,-0.341,04
Z2900719030,O=C(NCc1cnc2n1CCC2)[C@@H]1C[C@H]1c1ccc2c(c1)OCCO2,-8.523,-0.341,05
Z1230003191,Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)NCC[C@@H](C)O)C2)c1,-8.522,-0.355,05
Z1239029277,COc1ccc(-c2noc(NCc3ccc(O)c(F)c3)n2)cc1OC,-8.522,-0.341,01
Z1277663977,Cc1ccc(NC(=O)N[C@H](C)c2cnn(C)c2)cc1-n1nnnc1C,-8.522,-0.341,04
Z2608570501,CC1(c2nnc(-c3cccnc3)o2)CN(C(=O)[C@@]2(C)CCCCO2)C1,-8.522,-0.341,02
Z52223032,COc1cc2c(cc1OC)CN(C(=O)CCC(=O)c1ccc3c(c1)CCC3)CC2,-8.522,-0.294,05
Z1695755853,COc1ccc(CN2C[C@H](C(=O)Nc3nncn3C)CC2=O)cc1,-8.521,-0.355,02
Z2221367059,C[C@@H](C(=O)Nc1cccc(-c2nnc[nH]2)c1)c1ccc2c(c1)OCO2,-8.521,-0.341,05
Z1961275743,Clc1ccc(CO[C@H]2CC[N@@H+](Cc3c[nH]cn3)CC2)cc1Cl,-8.520,-0.387,02
Z25074763,CC(=O)c1cccc(NC(=O)[C@@H](C)Sc2nc(N)cc(N)n2)c1,-8.520,-0.370,03
Z25074763,CC(=O)c1cccc(NC(=O)[C@@H](C)Sc2nc(N)cc(N)n2)c1,-8.520,-0.370,04
Z25074763,CC(=O)c1cccc(NC(=O)[C@@H](C)Sc2nc(N)cc(N)n2)c1,-8.520,-0.370,05
Z2905597754,COCCN(C)c1nnnn1Cc1cc(Cl)c2c(c1)OCCO2,-8.520,-0.370,01
Z1126852017,O=C(NCCc1nc(-c2ccccc2)c[nH]1)c1ccc2c(c1)OCCO2,-8.519,-0.328,01
Z1139263856,Cc1ccc(N2CCCN(C(=O)CCCn3ccnc3C)CC2)nn1,-8.519,-0.341,05
Z168899916,Clc1cc(COc2ccc(-c3nnco3)cc2)cc2c1OCO2,-8.519,-0.370,03
Z2006203560,O=C(NCc1cc2ccccc2o1)NCC1(OCCO)CCOCC1,-8.519,-0.341,04
Z2473150827,CNS(=O)(=O)[C@H]1CCN(Cc2cc(OC(C)C)ccn2)C1,-8.519,-0.406,05
Z511021348,O=C(NCc1ccn[nH]1)NC[C@@H](O)C[N@@H+]1CCc2ccccc2C1,-8.519,-0.355,02
Z1196754512,COc1cccc(NC(=O)NCc2cc3c([nH]c2=O)CCC3)c1,-8.518,-0.370,05
Z67233524,COc1cccc(/C=c2/s/c(=C(\C#N)C(=O)N3CCOCC3)n(C)c2=O)c1,-8.517,-0.315,01
Z2453743948,Cn1nc(C2CC2)[nH+]c1CC(=O)N1CC[C@@H](Cc2ccncc2)C1,-8.516,-0.355,02
Z1479840691,CNC(=O)C(C)(C)CNC(=O)CNC(=O)c1ccc2c(c1)OCO2,-8.515,-0.355,01
Z221514444,COc1ccccc1CNC(=O)c1ccc(N2CCOCC2)nc1,-8.515,-0.355,03
Z213358608,Cc1cc(NC(=O)CN(C)Cc2cc(=O)n(C)c(=O)n2C)no1,-8.513,-0.370,02
Z332605822,Cc1cccc(NC(=O)c2cccc(Nc3ncccn3)c2)c1,-8.513,-0.370,02
Z646130548,CN(C)C(=O)COc1cccc(CNc2ncnc3c2cnn3C)c1,-8.513,-0.341,04
Z822557112,COCCOc1cccc(C(=O)/C(C#N)=C2/C=Cc3ccccc3N2)c1,-8.513,-0.327,01
Z1032475134,CC[C@H](C)NC(=O)CCNC(=O)Nc1cnc(C(C)(C)C)nc1,-8.512,-0.370,02
Z2006203560,O=C(NCc1cc2ccccc2o1)NCC1(OCCO)CCOCC1,-8.512,-0.340,05
Z952518004,O=C(C[C@@H]1CCCO1)NCc1ccc(-n2cnc3ccccc32)nc1,-8.512,-0.340,02
Z1161099899,O=C(Cc1ccccc1Cl)Nc1ccn(CC[NH+]2CCOCC2)n1,-8.511,-0.355,02
Z1268760432,COC(C)(C)C[C@@H](C)NC(=O)N1CCC[C@H](c2ccn[nH]2)C1,-8.511,-0.387,02
Z1175491741,CNC(=O)[C@H]1CCCN(C(=O)/C=C/c2ccc3c(c2)OCO3)C1,-8.510,-0.370,04
Z1479840691,CNC(=O)C(C)(C)CNC(=O)CNC(=O)c1ccc2c(c1)OCO2,-8.510,-0.355,02
Z340891622,COc1ccc([C@@H](C)NC(=O)CCN2CCSC2=O)cc1OC,-8.510,-0.370,02
Z751695050,CCCNC(=O)CNC(=O)Nc1cnn(C[C@@H]2CCCO2)c1,-8.510,-0.387,02
Z2608778611,C=C[C@H](O)C(=O)N1CCC(c2nccc(-c3cnn(C)c3)n2)CC1,-8.509,-0.355,01
Z2832179387,COc1cccc(-n2cc(NCc3cnn4c3CCC4)nn2)c1,-8.509,-0.370,04
Z1213747443,COc1cccc(/C=c2/sc3nc(=O)c(Cc4ccc(F)cc4)c(C)n3c2=O)c1,-8.507,-0.293,02
Z1751072008,C=C(C)CNC(=O)Nc1ccc(OCc2ccccn2)c(F)c1,-8.507,-0.370,03
Z1751570066,CN(C)C(=O)CN1CCC(O)(c2cccc(OC(F)(F)F)c2)CC1,-8.507,-0.354,01
Z374931190,CN(C[C@@H]1COc2ccccc2O1)C(=O)CCNS(C)(=O)=O,-8.507,-0.387,04
Z976793112,COCc1cccc(NC(=O)NCc2ccc(OCC3CC3)nc2)c1,-8.507,-0.340,04
Z2523904990,CCC[C@@H]1CN(Cc2nnc3n2CCOCC3)CC[N@H+]1CCOC,-8.506,-0.354,05
Z507334684,O=C(NCc1ccc(OC[C@@H]2CCCO2)cc1)NCc1ccn[nH]1,-8.506,-0.354,04
Z57782691,COc1cc(/C=c2/sc3nc(=O)c(C)nn3c2=O)cc(OC)c1OC,-8.506,-0.340,01
Z942120360,CCOc1ccc2c(c1)CC(C(=O)NCc1cc3ccccc3[nH]1)=CO2,-8.506,-0.327,03
Z975962966,COc1ccccc1CCNC(=O)c1cccnc1Oc1cccnc1,-8.506,-0.327,02
Z976793112,COCc1cccc(NC(=O)NCc2ccc(OCC3CC3)nc2)c1,-8.506,-0.340,05
Z1510024560,CC(C)n1cnc(S(=O)(=O)N2CCc3nn(C)c(=O)cc3C2)c1,-8.505,-0.370,01
Z1993937479,O[C@H](C[N@H+]1CC[C@H](OC[C@@H]2CCCCO2)CC1)c1ccc(F)cn1,-8.505,-0.354,03
Z26792929,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,-8.505,-0.354,02
Z1311362138,C[C@@H](Cn1cncn1)NC(=O)CN1CCOc2ccc(Cl)cc21,-8.504,-0.370,03
Z27644404,CC(=O)c1cccc(S(=O)(=O)NCCC(=O)NC(C)C)c1,-8.504,-0.405,01
Z221514444,COc1ccccc1CNC(=O)c1ccc(N2CCOCC2)nc1,-8.503,-0.354,04
Z383776856,O=C(COc1ccccc1)NCCNC(=O)Cn1cccn1,-8.503,-0.387,01
Z1684368884,Cc1c[nH]c(=O)n1-c1cccc(-c2noc(CCC(=O)c3ccc(F)c(F)c3)n2)c1,-8.502,-0.283,02
Z2304229115,CC(C)(C)c1ccc(SCC(=O)N2CCC[C@@](O)(CO)C2)cc1,-8.502,-0.370,02
Z2383206596,Cc1cnc(N2CCC[C@@](O)(Cc3nc(C4CC4)no3)C2)nc1C,-8.502,-0.354,05
Z25504871,Cc1ccc(C)c(C(=O)CSc2nnc(-c3ccc(OC(F)F)cc3)o2)c1,-8.502,-0.315,05
Z297931292,C=CCn1c(SCCC(=O)NC(=O)NC)nnc1C1CC1,-8.502,-0.405,04
Z45535449,COc1ccc(CNS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,-8.502,-0.370,01
Z1071219356,COc1ccc(CNc2cnn(C[C@H]3CCCO3)c2)c2ccccc12,-8.501,-0.340,04
Z1696146517,CO[C@@H]1[C@H](C)[C@@H](NS(=O)(=O)CCC[NH+]2CCOCC2)C1(C)C,-8.501,-0.386,01
Z1139319001,O=C(c1cccc(-n2cnnn2)c1)N1CCC[C@H]1Cn1cccn1,-8.500,-0.354,01
Z1955649159,CO[C@@H](C)c1noc(COc2ccc(F)cc2-c2ccnn2C)n1,-8.500,-0.354,03
Z1139707171,Cc1ccc(CN(C)C(=O)CN2CCO[C@H](Cn3cncn3)C2)o1,-8.499,-0.354,04
Z558464124,COCCNC(=O)c1ccc(N(C)Cc2ccc3c(c2)OCO3)nc1,-8.499,-0.340,03
Z117597710,C[NH+](C)C[C@@H](NC(=O)c1ccc(CNC(N)=O)cc1)c1ccccc1,-8.498,-0.340,02
Z1410342231,COc1cc(OC)cc([C@H](O)CNC(=O)[C@@H]2CCCc3[nH]ncc32)c1,-8.498,-0.340,02
Z1724549311,c1nc(N[C@H]2C[C@@H]3CC[C@H]2O3)cc(N[C@H]2C[C@@H]3CC[C@H]2O3)n1,-8.498,-0.386,04
Z1824173425,COc1cccc(CNC(=O)[C@@H](C)N2CC[C@@](O)(C(N)=O)C2)c1,-8.498,-0.369,03
Z2027428216,CN(Cc1ccccc1N1CCCC1)C(=O)[C@H]1CCc2[nH]nnc2C1,-8.498,-0.340,01
Z25181693,C=CCNC(=O)NC(=O)COc1ccc(-n2cnnn2)cc1,-8.498,-0.386,01
Z355432490,COc1ccccc1COC[C@@H](O)Cn1nc2c3c(cccc31)C(=O)c1ccccc1-2,-8.498,-0.274,04
Z989568472,O=C(C[N@H+]1CC[C@H](c2cn[nH]c2)CC1)NCCOc1ccccc1,-8.498,-0.354,02
Z102716538,CCOc1cccc2cc([C@H](C)NC(=O)c3n[nH]c4ccccc34)oc12,-8.497,-0.327,04
Z1348406721,CCO[C@@H]1C[C@@H](Nc2nccc(-n3cccn3)n2)C12CCCCC2,-8.497,-0.354,04
Z142289608,COc1ccc([C@@H]2CCCN2C(=O)c2cccc(-n3cnnn3)c2)cc1,-8.497,-0.327,04
Z1268952411,CCCc1nnc([C@@H]2CN(Cc3nnc(C4CC4)n3C)CCO2)[nH]1,-8.496,-0.354,03
Z1018562672,Cc1noc(CCNC(=O)NC(C)(C)c2ccc3c(c2)OCO3)n1,-8.495,-0.354,02
Z55992623,O=C(C[C@@H](C(=O)Nc1ccc2c(c1)OCCO2)C(=O)c1ccccc1)N[C@@H]1CCS(=O)(=O)C1,-8.495,-0.257,02
Z67578763,COc1ccc2cc([C@H](C)C(=O)N[C@@H](C)c3ccncc3)ccc2c1,-8.495,-0.340,04
Z1582702141,Cc1ccc(NC(=O)CC[NH2+][C@H](C)c2cnccn2)c(Cl)c1,-8.493,-0.386,01
Z237462396,O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1,-8.493,-0.354,04
Z31790934,O=C(CCC(=O)c1ccc2c(c1)OCCCO2)Nc1cccnc1,-8.493,-0.354,02
Z1362978731,CCOc1cc(NC(=O)N2CCC(c3nnc[nH]3)CC2)ccc1C,-8.492,-0.354,04
Z1578101386,O=C(Nc1ccc(-n2ccnn2)cc1)N[C@H]1CCO[C@]2(CCOC2)C1,-8.492,-0.340,05
Z2715574290,Cn1cc(N2C[C@H](C(=O)Nc3ccc4c(c3)CCOC4)CC2=O)cn1,-8.492,-0.340,01
Z2383841607,CNC(=O)C[C@]1(O)CCC[N@H+](Cc2cn(C(C)(C)C)nn2)C1,-8.491,-0.386,01
Z802748540,COc1ccc([C@@H]2CCCCCN2C(=O)CN(C)CC(N)=O)cc1,-8.491,-0.354,01
Z2608570501,CC1(c2nnc(-c3cccnc3)o2)CN(C(=O)[C@@]2(C)CCCCO2)C1,-8.490,-0.340,03
Z384052436,COc1cc(CNC(=O)C(C)(C)C)ccc1OCc1cccnc1,-8.490,-0.354,02
Z67578763,COc1ccc2cc([C@H](C)C(=O)N[C@@H](C)c3ccncc3)ccc2c1,-8.490,-0.340,05
Z2222830640,COCCOCCc1nc(C(=O)NCC2(C(C)C)CC2)c[nH]1,-8.489,-0.386,05
Z354576804,CCOc1ncccc1CNC(=O)[C@H]1CCCN(c2cnccn2)C1,-8.489,-0.340,02
Z367319150,CC(=O)c1c[nH]c(C(=O)NCCOc2cccc3c2OC(C)(C)C3)c1,-8.489,-0.340,02
Z962828002,CCS(=O)(=O)NCCCNC(=O)Nc1cc(Cl)ccc1F,-8.489,-0.404,01
Z1260431924,COc1ccccc1OCC(=O)N[C@H]1CCCN(c2cnn(C)c2)C1,-8.488,-0.340,01
Z177090742,COc1ccc(CCNC(=O)N2CCC(C(N)=O)CC2)cc1OC,-8.487,-0.354,04
Z221514444,COc1ccccc1CNC(=O)c1ccc(N2CCOCC2)nc1,-8.487,-0.354,05
Z2302955903,COCc1ccccc1CNC(=O)N[C@H]1C[C@H](OC(C)C)C1,-8.487,-0.386,05
Z2386370012,Cc1nc(C)c(C(=O)N2C[C@@H](C)O[C@@H](c3nc(C4CC4)no3)C2)o1,-8.487,-0.354,05
Z381526398,COc1ccc(NC(=O)N2CCC[N@@H+](C[C@@H]3CCCO3)CC2)cc1,-8.487,-0.354,02
Z383700372,COc1ccc(OC)c([C@H](O)CNC(=O)c2ccc[nH]c2=O)c1,-8.487,-0.369,01
