Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z46591104,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,-13.005,-0.406,01
Z821305824,Cc1cc(C)n(-c2ccc(SCc3nnc(C4CC4)o3)nn2)n1,-12.973,-0.564,03
Z2347167826,CCNC(=O)c1ccc(N2CCC(OCC3CCCCC3)CC2)nn1,-12.953,-0.518,03
Z734249758,COCCCNC(=O)C1CCN(c2ncnc3c2cnn3C)CC1,-12.950,-0.540,05
Z51007101,N#CC1(NC(=O)COc2cccc(-n3cnnn3)c2)CCCC1,-12.932,-0.562,01
Z2347167826,CCNC(=O)c1ccc(N2CCC(OCC3CCCCC3)CC2)nn1,-12.927,-0.517,04
Z2347167826,CCNC(=O)c1ccc(N2CCC(OCC3CCCCC3)CC2)nn1,-12.926,-0.517,05
Z1607097970,Clc1cccc(-n2ncc(-c3nc(-c4cnccn4)no3)n2)c1,-12.923,-0.562,01
Z1169856095,Cc1ccc(OCc2nc(CC(=O)NC3CCCCC3)no2)cc1C,-12.907,-0.516,02
Z2900814537,CNC(=O)C[N@H+]1CC[C@@H](Cc2nc(-c3cccc(C)n3)no2)CC1,-12.887,-0.537,01
Z223684556,CCOc1ccc(C(=O)CCC(=O)Nc2cccc(-c3nnnn3C)c2)cc1,-12.877,-0.460,05
Z46591104,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,-12.872,-0.402,02
Z1828978378,CCO[C@H]1C[C@@H](CCNC(=O)N2CCN(c3ncccn3)CC2)C1,-12.863,-0.536,01
Z646148144,COc1ccc(OC2CCN(c3ncnc4c3cnn4C)CC2)cc1,-12.859,-0.514,01
Z46591104,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,-12.850,-0.402,03
Z2900814537,CNC(=O)C[N@H+]1CC[C@@H](Cc2nc(-c3cccc(C)n3)no2)CC1,-12.846,-0.535,02
Z425099474,CC(=O)c1cc2c(cc1NC(=O)CN1CC[NH+](CCSc3ccccc3)CC1)OCO2,-12.839,-0.414,01
Z413365722,CCCCCCNC(=O)Nc1ccc(C)c(-n2cnnn2)c1,-12.833,-0.583,01
Z2382304246,Cc1noc([C@H]2CN(Cc3ccc(CO)cc3)C[C@@H](C)O2)n1,-12.831,-0.583,01
Z275730632,COc1ccc(OCC[NH+]2CCN([C@@H](C)c3nc(C)no3)CC2)cc1,-12.827,-0.513,01
Z275730632,COc1ccc(OCC[NH+]2CCN([C@@H](C)c3nc(C)no3)CC2)cc1,-12.827,-0.513,02
Z2764024223,COc1cccc(C(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)c1,-12.817,-0.534,01
Z1828978378,CCO[C@H]1C[C@@H](CCNC(=O)N2CCN(c3ncccn3)CC2)C1,-12.813,-0.534,02
Z2382304246,Cc1noc([C@H]2CN(Cc3ccc(CO)cc3)C[C@@H](C)O2)n1,-12.811,-0.582,02
Z193494820,Cc1cc(C)n2nc(SCc3nc(N)nc(N(C)C)n3)nc2n1,-12.801,-0.557,01
Z1828978378,CCO[C@H]1C[C@@H](CCNC(=O)N2CCN(c3ncccn3)CC2)C1,-12.800,-0.533,03
Z1315945609,CC(C)OCC[NH+]1CCN(C(=O)c2ccc(-c3ncon3)cc2)CC1,-12.788,-0.512,02
Z1828978378,CCO[C@H]1C[C@@H](CCNC(=O)N2CCN(c3ncccn3)CC2)C1,-12.786,-0.533,04
Z821305824,Cc1cc(C)n(-c2ccc(SCc3nnc(C4CC4)o3)nn2)n1,-12.786,-0.556,04
